OrthoPixelX,OrthoPixelY,UTM_11N_X,UTM_11N_Y,Latitude,Longitude
561.5,1378.5,682358.176235,4029923.476855,36.3971788704143,-114.966548693926
1127.5,1925.5,682390.783495,4029891.964185,36.3968887623387,-114.966192701974
1702.5,1843,682423.909245,4029896.71701,36.3969252941657,-114.965822416543
2648,1109,682478.3795,4029939.00275,36.3972959290902,-114.96520543906
