OrthoPixelX,OrthoPixelY,UTM_11N_X,UTM_11N_Y,Latitude,Longitude
5599.5,6339,682566.94878,4029358.6397,36.3920502382817,-114.964354781977
7739.5,5932,682695.30598,4029383.05156,36.392245784072,-114.962918658306
8066.5,5631,682714.91944,4029401.10554,36.3924047145067,-114.962695843759
8571,8642,682745.17935,4029220.50576,36.3907718215816,-114.96240111519
8815,8729,682759.81447,4029215.2875,36.3907220236053,-114.962239255134
8940,8452,682767.31197,4029231.90196,36.3908702878707,-114.962151797715
9378,9119,682793.58321,4029191.8953,36.3905048453475,-114.961868454591
9498,7803,682800.78081,4029270.82898,36.3912146397546,-114.961769675475
988.016815548427,6478.96652221096,682290.352018597,4029350.244508,36.392027113688,-114.967439087591
1398.65616383085,6152.40659592061,682314.982166707,4029369.83157238,36.3921989136089,-114.967160017674
1217.02888434765,6716.16167301469,682304.088162483,4029336.01754285,36.3918963275273,-114.967289353446
1318.7622176189,6673.42815905929,682310.190127813,4029338.58069902,36.3919182629916,-114.967220753035
941.494214269694,6820.48658713346,682287.561592972,4029329.7601345,36.3918430857241,-114.967474990038
935.318532247123,6901.21157354141,682287.191175564,4029324.91824982,36.3917995322369,-114.967480253991
985.165108549981,7120.44828521071,682290.180973211,4029311.76843185,36.3916804895991,-114.967450021939
1091.03394315498,7001.78696640723,682296.53098591,4029318.88573776,36.391743409466,-114.967377588943
1514.50928161379,7123.09500606865,682321.931036711,4029311.60968154,36.3916730355412,-114.967096244721
1429.81421389563,7706.69695685228,682316.851026549,4029276.60523653,36.3913586211474,-114.967161069743
1513.6270413071,7672.73070576696,682321.878119938,4029278.64253227,36.3913760226739,-114.967104571238
1631.84723998053,7561.56842940726,682328.968967454,4029285.3100456,36.3914347492841,-114.967023988185
1976.36207258265,7588.47675817885,682349.632967114,4029283.69608404,36.391416286886,-114.96679409353
1471.27950747132,7457.46407536128,682319.338114858,4029291.55422476,36.3914928346119,-114.967129846186
1309.8295346787,7903.87766135135,682309.65434549,4029264.77833787,36.3912534301881,-114.967244042715
1398.05356352267,7874.76373180528,682314.94602274,4029266.52459137,36.3912681593645,-114.967184664164
1630.96499967385,8094.44156362016,682328.91605068,4029253.34831501,36.3911467949023,-114.967032078948
2246.15628177587,7567.13855797664,682365.815223781,4029284.97594929,36.3914247470234,-114.966613462896
2494.28636291069,7679.62419475755,682380.698066047,4029278.2290608,36.3913611351976,-114.966449196857
2680.88018387705,8197.71980415569,682391.889963429,4029247.15368615,36.3910790323729,-114.966331773378
2850.93199950068,8257.93270384082,682402.08967133,4029243.54211642,36.3910445573028,-114.966218959348
3852.71584700395,8365.78657910869,682462.176666503,4029237.07304099,36.3909748655619,-114.965550890821
3865.2877711374,8287.04663335584,682462.930730513,4029241.79586293,36.3910172733754,-114.965541378618
5059.62056158787,8621.1951425912,682534.566811284,4029221.75363535,36.3908230947417,-114.964747801498
6050.81752563607,8569.58408572932,682594.018805188,4029224.84926654,36.3908396901595,-114.964084564819
6109.70706489223,8660.89595556905,682597.550999752,4029219.37238059,36.3907896741616,-114.964046490688
7445.63942164639,8938.80164646054,682677.68022251,4029202.70359725,36.3906242647568,-114.963157483038
7619.66131854917,8955.34365185763,682688.118055887,4029201.71140776,36.390613341155,-114.963041401709
8686.95150746122,8961.29877377636,682752.134121418,4029201.35421955,36.3905979504926,-114.96232811911
9070.06435273934,9320.59113124759,682775.113229877,4029179.80386395,36.3903994191539,-114.962077120048
9268.56841762856,9211.41389557404,682787.019503689,4029186.35231454,36.3904561536176,-114.961942901584
9608.01036861087,9307.35752692681,682807.379231909,4029180.59761554,36.3904004329106,-114.961717376425
8819.94923097271,8614.57834043858,682760.111324874,4029222.15051114,36.3907838003854,-114.962234332672
8483.81568106671,8560.32056265665,682739.95003455,4029225.40489265,36.3908169554659,-114.962458236138
8113.27475992205,8663.54267644252,682717.7249901,4029219.21363027,36.3907654007047,-114.962707358908
7747.36560028266,8721.77053550361,682695.777758705,4029215.72112328,36.3907381074114,-114.962952750917
6148.74619765171,8432.61628096197,682599.892566935,4029233.06459547,36.3909125912306,-114.964017179102
5995.23638747174,8283.07655206116,682590.685048521,4029242.03398841,36.390995151912,-114.964117676085
6240.05806749143,7858.93953339175,682605.369452888,4029267.47372679,36.3912215645667,-114.963948059227
6247.99823011961,7817.91535999269,682605.845703843,4029269.93435671,36.3912436434674,-114.963942173694
5869.5171463623,7955.54484499394,682583.144408439,4029261.6793402,36.3911735824196,-114.964197089196
4671.21427461715,7690.87275845427,682511.270202192,4029277.55437195,36.3913302650197,-114.964994300863
4493.88397664582,7687.56435740902,682500.633930919,4029277.75280984,36.3913340730255,-114.965112781407
4511.74934245635,7500.30885613888,682501.705495561,4029288.98439481,36.3914350621813,-114.965098201796
4698.34316348483,7496.33877485973,682512.897392946,4029289.22252028,36.3914350819056,-114.964973426814
4185.5409958414,7412.30538734441,682482.139518931,4029294.26284287,36.3914863350667,-114.965314999168
4286.11638871498,7909.22722981689,682488.172030995,4029264.45747076,36.3912166533744,-114.965254775794
2842.99183690356,7723.29508903007,682401.613420377,4029275.60968056,36.3913335655118,-114.966216737645
2737.1230022908,7189.3191544998,682395.263407677,4029307.63755711,36.3916233310939,-114.966279980783
2531.34045501506,6958.39275900373,682382.920570492,4029321.48852232,36.3917504663698,-114.966414274289
2817.84798869875,6745.99340954431,682400.105292362,4029334.2282353,36.3918619849214,-114.966219781028
2890.63281247853,6767.16717645444,682404.470926092,4029332.95823276,36.3918497139226,-114.966171429643
3586.7204000586,6900.82658014548,682446.222259596,4029324.94134172,36.3917695580136,-114.965708045728
4681.80115805669,7023.89910042027,682511.90520346,4029317.55945196,36.391690576229,-114.964977826334
5209.82197069929,7141.67817887049,682543.575891803,4029310.49506283,36.3916209125459,-114.964626556809
1865.02847717614,7214.46300267356,682342.955178061,4029306.1294291,36.3916196709465,-114.966863243482
1292.01340982428,5585.40631011414,682308.585734321,4029403.84024952,36.3925065339357,-114.967223317333
1682.40473745787,6025.4236539778,682332.001406153,4029377.44800923,36.3922643057855,-114.966968570837
2621.99064465195,6329.13487323036,682388.357768866,4029359.2314103,36.3920894848696,-114.966344822528
2727.85947925694,6221.94267821192,682394.707781566,4029365.66079816,36.3921462061157,-114.966272549789
3042.15758202668,5849.41671638886,682413.55938177,4029388.00490535,36.3923439402411,-114.966057224732
3296.90446529859,5876.54560529535,682428.839099829,4029386.37771459,36.3923263789738,-114.965887332317
3593.33720221122,5773.32349155606,682446.619135389,4029392.56897698,36.392378784279,-114.965687740716
3065.31638959191,5632.38560549403,682414.948447048,4029401.02243138,36.3924609599676,-114.966038688547
3439.16571181289,5639.66408784949,682437.371929395,4029400.58586801,36.3924527694722,-114.965788907309
2637.20928962006,5591.36143207945,682389.270583191,4029403.4830613,36.3924880038293,-114.966324260981
2735.79964185407,5529.82517194205,682395.184032518,4029407.17400619,36.3925201354859,-114.9662574958
2852.25535992189,5422.63297687703,682402.169046488,4029413.60339405,36.3925767361182,-114.96617814622
1926.56473727472,4996.51091756804,682346.646122942,4029439.16219516,36.3928175505789,-114.966790886772
1857.74999478962,4901.22896641811,682342.518614687,4029444.87720659,36.3928698241747,-114.966835541858
2043.68213557644,4811.24045703064,682353.670824492,4029450.27471739,36.3929163374767,-114.966709995657
1129.24007661822,4969.38202870813,682298.822589796,4029440.78938592,36.3928412855303,-114.967323445715
1145.78208203083,4250.1356335473,682299.81477928,4029483.9297847,36.3932297776962,-114.967302265005
2369.22880201961,4441.36121609658,682373.197113545,4029472.46007426,36.3931125139907,-114.966487188028
2635.88592918332,4444.00793697006,682389.191208032,4029472.30132394,36.3931080478222,-114.966308988084
2646.47281263062,4429.45097221255,682389.826209302,4029473.17445069,36.3931157938572,-114.966301706669
2678.89514326077,4747.05747601978,682391.770900693,4029454.12441259,36.3929437904161,-114.966284507909
3963.87812334812,5001.80435933051,682468.844179838,4029438.84469453,36.3927914921442,-114.965429199194
3813.67671423671,4864.17487431373,682459.83509932,4029447.09971104,36.3928675777703,-114.965527656472
3830.88039986768,4771.53964403727,682460.866976384,4029452.65597215,36.3929174418035,-114.965514852298
4132.60657851172,4530.68804528121,682478.964512579,4029467.10225104,36.3930441609442,-114.965309781625
4384.70674093346,4927.69617509071,682494.085480321,4029443.28970342,36.3928267464228,-114.965146868811
3488.1300478013,5286.32685234357,682440.308810267,4029421.7790354,36.3926431549573,-114.965751202022
3507.31877407185,5135.46376297497,682441.459750069,4029430.8278035,36.3927244626935,-114.965736250996
3249.26348971586,5134.14040253823,682425.981594113,4029430.90717866,36.3927281165919,-114.965908719073
3230.73644367144,5125.53855974604,682424.870341891,4029431.42311719,36.3927329759979,-114.965920981579
2655.07465544611,4886.01032145776,682390.342147834,4029445.79002092,36.3928689716184,-114.966302386615
2564.42446581699,4327.55221886341,682384.90494946,4029479.28633791,36.3931717940111,-114.966355113926
2565.74782625373,4305.05509151654,682384.984324619,4029480.63571561,36.3931839363737,-114.966353912562
1981.48419524396,4057.58669059233,682349.940192031,4029495.4788703,36.3933243194683,-114.966740958396
1978.83747438602,4080.74549814204,682349.781441714,4029494.08980502,36.3933118345926,-114.966743053573
1808.78565878568,3947.08609448205,682339.581733814,4029502.10669605,36.3933859997079,-114.966854837042
1839.22294872191,3867.68446852636,682341.407362464,4029506.86920558,36.3934285618397,-114.966833374367
2249.46468285218,3499.79026826293,682366.013661677,4029528.93549971,36.3936227016427,-114.966553981761
1928.54977795311,3195.41736872989,682346.765185682,4029547.19178622,36.3937908377162,-114.96676420157
1717.4737889149,2280.9753097872,682334.104847859,4029602.04002092,36.3942874041772,-114.966892414474
2482.37611900336,1881.32045910423,682379.983689618,4029626.01131886,36.3944946696884,-114.966375507459
1914.65449338292,372.689565884029,682345.931746513,4029716.49899984,36.395316395736,-114.966733744771
3169.86186375241,309.829945356479,682421.219084588,4029720.26931988,36.3953360731796,-114.965893838193
3588.70544067488,473.926638999271,682446.341322332,4029710.42680019,36.3952426252515,-114.96561618152
3705.8228389766,314.461706838471,682453.366023882,4029719.99150682,36.3953274659149,-114.965535649868
4814.79888152936,608.247722939735,682519.882406914,4029702.37022158,36.395156070433,-114.964798515581
5653.14771561596,678.385825853803,682570.166569983,4029698.16333817,36.3951086140699,-114.964239126737
6510.68527597312,916.590703736398,682621.601672853,4029683.87580959,36.3949701133707,-114.963669282446
5862.90034419415,1022.45953833363,682582.747532645,4029677.52579689,36.3949202864761,-114.964103772901
5657.11779691064,1242.79905036688,682570.404695459,4029664.30983296,36.3948035608623,-114.964244430025
5586.31801377044,1195.8197550491,682566.158124466,4029667.12765109,36.3948297553252,-114.964291092231
5717.33069660354,1486.29736998089,682574.016265182,4029649.70480375,36.3946712884958,-114.964207614925
5721.96245811659,1456.52176023198,682574.294078238,4029651.49074482,36.3946873263945,-114.96420409916
5799.37904344823,1485.63568977805,682578.937525026,4029649.74449133,36.3946707108963,-114.964152762355
7057.89481487075,1424.09942965618,682654.423300996,4029653.43543621,36.39468961751,-114.963310670206
7258.38392039954,1285.80826443656,682666.448637546,4029661.7301403,36.3947620635909,-114.963174707532
7431.74413709948,1331.46419933314,682676.846783343,4029658.99169732,36.3947354142572,-114.963059473033
7503.86728066866,1499.53097430166,682681.172729495,4029648.91105216,36.3946437688115,-114.963013634834
7674.5807764796,960.923278196235,682691.412124973,4029681.21674177,36.3949328843447,-114.962891927466
7840.66251077749,1032.38474156257,682701.373707396,4029676.9304832,36.3948923724983,-114.962781922026
8025.93297136924,1527.98322359831,682712.486229623,4029647.20448625,36.3946224389655,-114.962665074448
7923.37253782502,1580.91764089693,682706.334654819,4029644.0294799,36.3945950031321,-114.962734375197
7804.93177910986,1809.19731553506,682699.230578111,4029630.33726501,36.3944729921736,-114.962816764376
7280.88104777746,1762.87970040459,682667.798015246,4029633.11539557,36.3945039986015,-114.963166399017
6915.63356834869,1794.64035077755,682645.89047143,4029631.21039176,36.3944910000301,-114.963410987176
7093.62554654615,1784.71514754862,682656.566430282,4029631.80570545,36.3944943340573,-114.963291873077
7435.71421839416,1864.11677347325,682677.084908819,4029627.04319593,36.3944475246196,-114.963064332829
7300.73145426639,2212.16056729434,682668.988642627,4029606.16752917,36.3942609817529,-114.963159467657
6651.62316204291,1770.81986299395,682630.055127259,4029632.63914462,36.3945068827079,-114.963587122174
5786.1454390964,1641.13054059759,682578.143773437,4029640.41791018,36.3945868325752,-114.964163800238
6602.6588260545,2084.45628552203,682627.118246387,4029613.82723199,36.3943379524036,-114.963624273977
6018.39519502145,1829.70940224235,682592.074113797,4029629.10695005,36.3944822776302,-114.964011217478
5218.42381349149,1846.91308787333,682544.091830333,4029628.07507299,36.3944820982163,-114.964546180342
1797.53709509672,1735.7508114981,682338.907044964,4029634.74258633,36.3945811317473,-114.96683122171
4717.53188971656,2233.99601442284,682514.048332745,4029604.85783906,36.3942786266936,-114.96488644399
4788.99335308289,2286.93043175251,682518.334591318,4029601.6828327,36.3942492067866,-114.964839423539
5856.9452222366,2324.64620409078,682582.39034443,4029599.42064068,36.3942166548762,-114.964126112345
8242.30240208451,3378.70278864324,682725.464068077,4029536.19832674,36.3936198460901,-114.96254655997
6826.3067391563,2951.91904913141,682640.532648215,4029561.79681543,36.3938666272751,-114.963487016148
6650.29980160618,2984.34137972274,682629.9757521,4029559.85212404,36.3938511129841,-114.963605119697
7568.71194186684,3990.75698875457,682685.062112273,4029499.48731581,36.3932967757685,-114.963005432274
